PRODUCT_NUM                     ,DEPARTMENT                ,COMMODITY                 ,BRAND_TY,NATURAL_ORGANIC_FLAG
00767388                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767422                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767424                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767428                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767439                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767460                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767464                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767520                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767526                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767541                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767548                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767558                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767565                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00767593                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00839849                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00839852                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00839853                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00880074                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00889073                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00889112                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00949116                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00949252                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00966686                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
00966720                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01041163                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01076662                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01076728                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01076735                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01076852                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01077087                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01098602                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01098608                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01106143                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01106393                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01106418                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01106422                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01111062                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01111080                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
01290203                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
02318384                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
02686788                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
02686986                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
02803432                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
02831365                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
02882261                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
02950796                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
02961126                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03065377                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03065387                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03131524                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03148125                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03148133                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03148135                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03156103                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03156300                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03156302                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03672243                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03672245                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03673232                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03679758                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03679760                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03679761                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03796468                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
03816885                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04004352                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04054610                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04113461                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04181459                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04282458                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04353293                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04405312                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04465887                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04552719                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04619339                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04619340                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04619341                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04619345                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04632650                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04659540                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04690954                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04730440                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04740022                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04761815                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04762601                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04783102                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04845831                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04849078                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04950129                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04950380                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04950719                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04950917                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04959310                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04969046                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04969047                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
04981752                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05003771                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05015000                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05015053                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05033999                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05052078                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05057810                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05057814                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05057818                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05057819                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05057918                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05065194                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05083597                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05083598                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05173066                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05175930                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
